iter	Passed	Remaining
402	17269	25583
403	17298	25519
404	17343	25480
405	17387	25438
406	17427	25392
407	17464	25341
408	17504	25293
409	17530	25226
410	17572	25183
411	17601	25120
412	17640	25071
413	17671	25012
414	17713	24969
415	17746	24913
416	17780	24858
417	17809	24797
418	17845	24744
419	17881	24693
420	17919	24644
421	17958	24597
422	17995	24547
423	18032	24497
424	18069	24446
425	18108	24399
426	18150	24356
427	18189	24309
428	18241	24280
429	18270	24218
430	18305	24166
431	18342	24116
432	18374	24060
433	18405	24003
434	18447	23960
435	18489	23917
436	18529	23872
437	18571	23829
438	18613	23785
439	18656	23744
440	18702	23706
441	18748	23668
442	18785	23619
443	18820	23568
444	18860	23523
445	18894	23469
446	18936	23427
447	18965	23368
448	19000	23317
449	19028	23256
450	19054	23195
451	19095	23151
452	19130	23100
453	19160	23043
454	19190	22986
455	19225	22935
456	19264	22890
457	19299	22839
458	19344	22800
459	19373	22742
460	19411	22696
461	19446	22645
462	19496	22612
463	19531	22562
464	19570	22516
465	19610	22472
466	19654	22432
467	19694	22388
468	19739	22348
469	19787	22313
470	19809	22248
471	19846	22201
472	19879	22148
473	19922	22108
474	19956	22056
475	19981	21996
476	20021	21952
477	20054	21900
478	20089	21850
479	20121	21798
480	20164	21757
481	20204	21713
482	20246	21671
483	20287	21629
484	20336	21594
485	20367	21540
486	20404	21493
487	20456	21462
488	20492	21414
489	20535	21373
490	20572	21327
491	20614	21284
492	20657	21243
493	20697	21199
494	20734	21153
495	20779	21114
496	20819	21071
497	20854	21021
498	20888	20972
499	20926	20926
500	20969	20885
501	21008	20841
502	21025	20774
503	21072	20737
504	21100	20682
505	21140	20639
506	21185	20600
507	21214	20546
508	21254	20503
509	21293	20458
510	21324	20406
511	21367	20366
512	21409	20324
513	21444	20275
514	21479	20228
515	21519	20185
516	21554	20136
517	21588	20088
518	21613	20030
519	21655	19989
520	21693	19944
521	21725	19893
522	21763	19849
523	21791	19795
524	21825	19747
525	21855	19694
526	21887	19644
527	21929	19603
528	21966	19558
529	22001	19510
530	22045	19471
531	22087	19429
532	22139	19397
533	22181	19357
534	22226	19318
535	22268	19276
536	22309	19235
537	22349	19192
538	22389	19149
539	22427	19104
540	22469	19064
541	22507	19019
542	22550	18978
543	22577	18925
544	22611	18877
545	22650	18833
546	22694	18794
547	22732	18750
548	22769	18704
549	22807	18660
550	22857	18626
551	22900	18585
552	22953	18553
553	22982	18502
554	23024	18461
555	23078	18429
556	23116	18385
557	23159	18345
558	23186	18292
559	23222	18246
560	23253	18196
561	23293	18154
562	23335	18113
563	23376	18070
564	23404	18019
565	23441	17974
566	23482	17932
567	23518	17887
568	23560	17846
569	23589	17795
570	23628	17752
571	23680	17718
572	23731	17684
573	23788	17654
574	23827	17611
575	23875	17574
576	23910	17529
577	23953	17488
578	23995	17447
579	24036	17405
580	24072	17360
581	24107	17314
582	24133	17261
583	24172	17219
584	24214	17177
585	24253	17134
586	24283	17085
587	24327	17045
588	24370	17005
589	24405	16959
590	24424	16902
591	24473	16866
592	24513	16824
593	24558	16785
594	24593	16740
595	24626	16693
596	24668	16652
597	24707	16609
598	24746	16566
599	24791	16527
600	24833	16486
601	24871	16443
602	24905	16396
603	24943	16353
604	24970	16303
605	25004	16256
606	25046	16216
607	25083	16172
608	25114	16124
609	25155	16082
610	25194	16040
611	25232	15996
612	25265	15950
613	25308	15910
614	25346	15867
615	25385	15824
616	25427	15784
617	25460	15737
618	25493	15691
619	25521	15642
620	25560	15599
621	25593	15553
622	25622	15504
623	25661	15462
624	25696	15417
625	25741	15378
626	25782	15337
627	25829	15300
628	25877	15263
629	25921	15223
630	25960	15181
631	25981	15128
632	26020	15086
633	26056	15041
634	26097	15000
635	26128	14954
636	26148	14901
637	26179	14854
638	26208	14806
639	26241	14760
640	26275	14715
641	26311	14672
642	26352	14631
643	26389	14588
644	26430	14547
645	26472	14506
646	26516	14467
647	26558	14426
648	26605	14388
649	26636	14342
650	26674	14300
651	26713	14258
652	26761	14220
653	26799	14178
654	26833	14133
655	26875	14093
656	26907	14047
657	26944	14004
658	26989	13965
659	27031	13925
660	27057	13876
661	27102	13838
662	27135	13792
663	27170	13748
664	27209	13706
665	27246	13664
666	27287	13623
667	27330	13583
668	27366	13540
669	27401	13496
670	27435	13452
671	27474	13409
672	27507	13365
673	27545	13323
674	27586	13282
675	27626	13241
676	27664	13198
677	27692	13151
678	27725	13107
679	27765	13066
680	27803	13023
681	27835	12978
682	27883	12941
683	27922	12899
684	27962	12858
685	27998	12815
686	28036	12773
687	28064	12727
688	28093	12680
689	28119	12633
690	28163	12593
691	28196	12550
692	28238	12509
693	28266	12463
694	28316	12426
695	28353	12384
696	28393	12343
697	28427	12299
698	28463	12256
699	28499	12214
700	28530	12169
701	28546	12118
702	28579	12074
703	28612	12030
704	28654	11990
705	28682	11944
706	28714	11899
707	28747	11856
708	28775	11810
709	28813	11768
710	28847	11725
711	28888	11685
712	28934	11646
713	28966	11602
714	29010	11563
715	29051	11523
716	29090	11481
717	29132	11442
718	29172	11401
719	29215	11361
720	29250	11318
721	29276	11272
722	29313	11230
723	29351	11189
724	29383	11145
725	29427	11106
726	29449	11058
727	29497	11021
728	29524	10975
729	29555	10931
730	29590	10889
731	29640	10851
732	29672	10808
733	29714	10768
