iter	RMSE
154	2899.697622
155	2898.648008
156	2897.3225
157	2895.882003
158	2894.915523
159	2894.030916
160	2893.014779
161	2891.975277
162	2890.77181
163	2889.9878
164	2889.25066
165	2888.483228
166	2887.186394
167	2885.999086
168	2884.739114
169	2883.889621
170	2882.935161
171	2881.985131
172	2881.012225
173	2880.003142
174	2879.181073
175	2878.572515
176	2877.680074
177	2876.830498
178	2876.400674
179	2875.511278
180	2874.492232
181	2873.892832
182	2873.289079
183	2872.487384
184	2871.577154
185	2870.898456
186	2870.206552
187	2869.6092
188	2868.714022
189	2867.320366
190	2866.910428
191	2866.244212
192	2865.913486
193	2865.425015
194	2864.674041
195	2863.707308
196	2863.254027
197	2862.53496
198	2861.250364
199	2860.840326
200	2860.365517
201	2859.339959
202	2858.974714
203	2858.469514
204	2858.277241
205	2857.857236
206	2857.265286
207	2856.860942
208	2855.586216
209	2855.23364
210	2853.887713
211	2853.027464
212	2852.720485
213	2852.317365
214	2851.374981
215	2851.044726
216	2850.419451
217	2850.193192
218	2849.83453
219	2849.487397
220	2848.688927
221	2848.090909
222	2847.817706
223	2847.614647
224	2846.82682
225	2846.636548
226	2845.970144
227	2845.660521
228	2845.181784
229	2844.947704
230	2844.234442
231	2843.578247
232	2843.129506
233	2842.87425
234	2841.967406
235	2841.755542
236	2841.494855
237	2841.124439
238	2840.315798
239	2840.242787
240	2839.643361
241	2839.161993
242	2838.956869
243	2838.778455
244	2838.593573
245	2838.124166
246	2837.771099
247	2837.575243
248	2837.182121
249	2837.003181
250	2836.677773
251	2836.330777
252	2835.878086
253	2835.376076
254	2835.101516
255	2834.591725
256	2834.228996
257	2834.008672
258	2833.661096
259	2833.066566
260	2832.774617
261	2832.220167
262	2832.087736
263	2831.908496
264	2831.413962
265	2830.598871
266	2830.397212
267	2830.006588
268	2829.441376
269	2828.983321
270	2828.712005
271	2827.633846
272	2827.085472
273	2826.839925
274	2826.194454
275	2825.924464
276	2825.762472
277	2825.281943
278	2824.534695
279	2823.591207
280	2823.43749
281	2823.26915
282	2822.816205
283	2822.434768
284	2822.32691
285	2822.076195
286	2821.884184
287	2821.722628
288	2821.573517
289	2820.993628
290	2820.664043
291	2820.156264
292	2819.791968
293	2818.7794
294	2818.577221
295	2818.383361
296	2817.760538
297	2817.593565
298	2817.460374
299	2817.225197
300	2816.956729
301	2816.798428
302	2816.557013
303	2816.251476
304	2815.56901
305	2815.366366
306	2815.191777
307	2814.826351
308	2814.18201
309	2813.869788
310	2813.693057
311	2813.140051
312	2812.932675
313	2812.736638
314	2812.574739
315	2812.226066
316	2812.004037
317	2811.609991
318	2811.330463
319	2811.231624
320	2811.014048
321	2810.849058
322	2810.591828
323	2810.138672
324	2809.812208
325	2809.470024
326	2809.27767
327	2809.093872
328	2808.920453
329	2808.708857
330	2808.073429
331	2808.017234
332	2807.912894
333	2807.640923
334	2807.561651
335	2807.349828
336	2807.207792
337	2806.951055
338	2806.860497
339	2806.550838
340	2806.310944
341	2805.937959
342	2805.451756
343	2805.286742
344	2804.882389
345	2804.348236
346	2804.138131
347	2803.822653
348	2803.651913
349	2803.309113
350	2802.635067
351	2802.543359
352	2802.430699
353	2802.311582
354	2802.020951
355	2801.902762
356	2801.802359
357	2801.718713
358	2800.991257
359	2800.835547
360	2800.683315
361	2800.022789
362	2799.92447
363	2799.649017
364	2799.23978
365	2799.065794
366	2798.842152
367	2798.516674
368	2798.311863
369	2798.122782
370	2798.065448
371	2797.880764
372	2797.729377
373	2797.292362
374	2796.68018
375	2796.534669
376	2796.371009
377	2796.324837
378	2796.179363
379	2796.054656
380	2795.848117
381	2795.567866
382	2795.174465
383	2794.940243
384	2794.770099
385	2794.49812
386	2794.270005
387	2794.186546
388	2794.074325
389	2794.000333
390	2793.692735
391	2793.525618
392	2793.364059
393	2792.573858
394	2792.45883
395	2792.355655
396	2791.518336
397	2791.110781
398	2790.880746
399	2790.555679
400	2790.504461
401	2790.403423
402	2790.223256
403	2790.133803
404	2789.98299
405	2789.81257
406	2789.108918
407	2788.843761
408	2788.798516
409	2788.744284
410	2788.530133
411	2788.372701
412	2788.293724
413	2788.202819
414	2788.055793
415	2787.930597
416	2787.72085
417	2787.588344
418	2787.502815
419	2787.336326
420	2786.967663
421	2786.857139
422	2786.273125
423	2786.210837
424	2785.84568
425	2785.63585
426	2785.410888
427	2785.13156
428	2784.997949
429	2784.933801
430	2784.822378
431	2784.340973
432	2784.032533
433	2783.759183
434	2783.133869
435	2782.970646
436	2782.634394
437	2782.492512
438	2782.409073
439	2782.311097
440	2781.621661
441	2781.285244
442	2781.095413
443	2780.546581
444	2780.205996
445	2780.052963
446	2779.904762
447	2779.760029
448	2779.424305
449	2779.187031
450	2779.011904
451	2778.600898
452	2778.442833
453	2778.255889
454	2778.049347
455	2777.852089
456	2777.440311
457	2777.204386
458	2777.06426
459	2776.931301
460	2776.373087
461	2776.144827
462	2776.037898
463	2775.818843
464	2775.749783
465	2775.628846
466	2775.53823
467	2775.451252
468	2775.327807
469	2774.98593
470	2774.801453
471	2774.574475
472	2774.168722
473	2773.999768
474	2773.806337
475	2773.681397
476	2773.513433
477	2773.487921
478	2773.174491
479	2773.116766
480	2772.980341
481	2772.828536
482	2772.607466
483	2772.021307
484	2771.907299
485	2771.812891
486	2771.761129
487	2771.357727
488	2771.305341
489	2771.227992
490	2770.950219
491	2770.65756
492	2770.383762
493	2770.295739
494	2769.972917
495	2769.766124
496	2769.304386
497	2768.778242
498	2768.66774
499	2768.557492
500	2768.347853
501	2768.180953
502	2768.10925
503	2767.984204
504	2767.798598
505	2767.67774
506	2767.539548
507	2767.235561
508	2767.173164
509	2767.08246
510	2767.005751
511	2766.800669
512	2766.630386
513	2766.304166
514	2765.959773
515	2765.851278
516	2765.637053
517	2765.406705
518	2765.293229
519	2765.088223
520	2764.656541
521	2764.514087
522	2764.044303
523	2763.95262
524	2763.767035
525	2763.710863
526	2763.622767
527	2763.429545
528	2763.27438
529	2763.147143
530	2763.046242
531	2762.859023
532	2762.436315
533	2762.182371
534	2762.04905
535	2761.867152
536	2761.76862
537	2761.555365
538	2761.395529
539	2761.047166
540	2760.891492
541	2760.754404
542	2760.693656
543	2760.555004
544	2760.490237
545	2760.352343
546	2760.19111
547	2760.097515
548	2759.995794
549	2759.914485
550	2759.664169
551	2759.536269
552	2759.286683
553	2759.092936
554	2758.857765
555	2758.608989
556	2758.5334
557	2758.241413
558	2758.19559
559	2758.040026
560	2757.810269
561	2757.679265
562	2757.108017
563	2757.070025
564	2756.930083
565	2756.741396
566	2756.225923
567	2756.100929
568	2755.903815
569	2755.829581
570	2755.735227
571	2755.472638
572	2755.33754
573	2755.164506
574	2755.056865
575	2754.796584
576	2754.59952
577	2754.132745
578	2753.963485
579	2753.652942
580	2753.431631
581	2753.137325
582	2752.713173
583	2752.54654
584	2752.42917
585	2752.250603
586	2751.968834
587	2751.812977
588	2751.589524
589	2751.252272
590	2750.907201
591	2750.653968
592	2750.536552
593	2750.314413
594	2750.131215
595	2750.078356
596	2749.91703
597	2749.815055
598	2749.685879
599	2749.584351
600	2749.498206
601	2749.344075
602	2749.235318
603	2748.989839
604	2748.960507
605	2748.744868
606	2748.649155
607	2748.424896
608	2748.034777
609	2747.573861
610	2747.415276
611	2747.237255
612	2747.143218
613	2747.081473
614	2746.840529
615	2746.671709
616	2746.489144
617	2746.458785
618	2746.191768
619	2745.752776
620	2745.33003
621	2745.13949
622	2745.031398
623	2744.777814
624	2744.683313
625	2744.532461
626	2744.214983
627	2744.036927
628	2743.977412
629	2743.829053
630	2743.58472
631	2743.187345
632	2743.007678
633	2742.879625
634	2742.826503
635	2742.695714
636	2742.656237
637	2742.290899
638	2742.148594
639	2742.026235
640	2741.729437
641	2741.626957
642	2741.382381
643	2741.301877
644	2741.170761
645	2740.923567
646	2740.769478
647	2740.605369
648	2740.51117
649	2740.355538
650	2740.152988
651	2740.049731
652	2739.878135
653	2739.677389
654	2739.601616
655	2739.467375
656	2739.256388
657	2739.107122
658	2738.922088
659	2738.587636
660	2738.556562
661	2738.355694
662	2738.142734
663	2738.024865
664	2737.858372
665	2737.716464
666	2737.517304
667	2737.432967
668	2737.320052
669	2737.116204
670	2737.039455
671	2736.991258
672	2736.841363
673	2736.737806
674	2736.700647
675	2736.437183
676	2736.275651
677	2736.072041
678	2736.001636
679	2735.959422
680	2735.766027
681	2735.713375
682	2735.562729
683	2735.514779
684	2735.328624
685	2735.255098
686	2734.897183
687	2734.896568
688	2734.847859
689	2734.845372
690	2734.708569
691	2734.642448
692	2734.468529
693	2734.406274
694	2734.281716
695	2734.165722
696	2734.022869
697	2733.975924
698	2733.921082
699	2733.789403
700	2733.622935
701	2733.611554
702	2733.385894
703	2733.343928
704	2733.040059
705	2732.949627
706	2732.902972
707	2732.823832
708	2732.701998
709	2732.548067
710	2732.285096
711	2732.01189
712	2731.855545
713	2731.714708
714	2731.499318
715	2731.398656
716	2731.079809
717	2730.920456
718	2730.730946
719	2730.60484
720	2730.565313
721	2730.383701
722	2730.310408
723	2730.207179
724	2730.106379
725	2729.911717
726	2729.783186
727	2729.689389
728	2729.687968
729	2729.54994
730	2729.456684
731	2729.331683
732	2729.058666
733	2728.905258
734	2728.774177
735	2728.673103
736	2728.570362
737	2728.522371
738	2728.354774
739	2728.19632
740	2728.154786
741	2727.853849
742	2727.826213
743	2727.667014
744	2727.566663
745	2727.39109
746	2727.32438
747	2727.22901
748	2727.009224
749	2726.802876
750	2726.533193
751	2726.436234
752	2726.263711
753	2726.093759
754	2726.021023
755	2725.87351
756	2725.80562
757	2725.648955
758	2725.395868
759	2725.234656
760	2725.114075
761	2724.996726
762	2724.932327
763	2724.767385
764	2724.649471
765	2724.578697
766	2724.425814
767	2724.261336
768	2724.128763
769	2723.981816
770	2723.916218
771	2723.751899
772	2723.697314
773	2723.540054
774	2723.321155
775	2723.281914
776	2723.128806
777	2723.08793
778	2723.029512
779	2722.962571
780	2722.696472
781	2722.643661
782	2722.609485
783	2722.422226
784	2722.257511
785	2722.216184
786	2722.075804
787	2722.02397
788	2721.939543
789	2721.826167
790	2721.6846
791	2721.587069
792	2721.496811
793	2721.430124
794	2721.352448
795	2721.207717
796	2721.101547
797	2720.92035
798	2720.832077
799	2720.695719
800	2720.65613
801	2720.569547
802	2720.541649
803	2720.397144
804	2720.260422
805	2720.206617
806	2720.15468
807	2720.046734
808	2719.940894
809	2719.830493
810	2719.764426
811	2719.572186
812	2719.525901
813	2719.341056
814	2719.269457
815	2719.234764
816	2719.220521
817	2719.121777
818	2719.070358
819	2719.012757
820	2718.925553
821	2718.893729
822	2718.715586
823	2718.649999
824	2718.542468
825	2718.516208
826	2718.432911
827	2718.273986
828	2718.215497
829	2718.080917
830	2717.929751
831	2717.837461
832	2717.815219
833	2717.7283
834	2717.579105
835	2717.445084
836	2717.339038
837	2717.336626
838	2717.165919
839	2717.132959
840	2717.093887
841	2717.000758
842	2716.903056
843	2716.78121
844	2716.694868
845	2716.644388
846	2716.614094
847	2716.548169
848	2716.502595
849	2716.412914
850	2716.337664
851	2716.300306
852	2716.223806
853	2716.135112
854	2716.021645
855	2715.990981
856	2715.796798
857	2715.761651
858	2715.654323
859	2715.482648
860	2715.337715
861	2715.220229
862	2715.101951
863	2715.032988
864	2714.848642
865	2714.700946
866	2714.657089
867	2714.500386
868	2714.453267
869	2714.418257
870	2714.299971
871	2714.222205
872	2714.132469
873	2713.971055
874	2713.809199
875	2713.754576
876	2713.720731
877	2713.658725
878	2713.574291
879	2713.498768
880	2713.447035
881	2713.355946
882	2713.337606
883	2713.096993
884	2712.99274
885	2712.868298
886	2712.741138
887	2712.578574
888	2712.520096
889	2712.443897
890	2712.328813
891	2712.27846
892	2712.049799
893	2711.990188
894	2711.904987
895	2711.799946
896	2711.748687
897	2711.689638
898	2711.501249
899	2711.364852
900	2711.254215
901	2711.157823
902	2711.051172
903	2710.978493
904	2710.893658
905	2710.853172
906	2710.819134
907	2710.775659
908	2710.724173
909	2710.622917
910	2710.453681
911	2710.316808
912	2710.241834
913	2710.117275
914	2709.940881
915	2709.866321
916	2709.761965
917	2709.732736
918	2709.654291
919	2709.536931
920	2709.382998
921	2709.169217
922	2709.06922
923	2708.975534
924	2708.89632
925	2708.807516
926	2708.7271
927	2708.652815
928	2708.553764
929	2708.483099
930	2708.41027
931	2708.390488
932	2708.385307
933	2708.336437
934	2708.182825
935	2708.129096
936	2708.042613
937	2708.0124
938	2707.93232
939	2707.819001
940	2707.675459
941	2707.523628
942	2707.404955
943	2707.342816
944	2707.250678
945	2707.155869
946	2707.077784
947	2707.008977
948	2706.895655
949	2706.730622
950	2706.649194
951	2706.491439
952	2706.365203
953	2706.241593
954	2706.178741
955	2706.108343
956	2706.0316
957	2705.848525
958	2705.792917
959	2705.689422
960	2705.581745
961	2705.484655
962	2705.453212
963	2705.420082
964	2705.401157
965	2705.308573
966	2705.154218
967	2705.059311
968	2704.990907
969	2704.92269
970	2704.825665
971	2704.786816
972	2704.679286
973	2704.616121
974	2704.521823
975	2704.434369
976	2704.297591
977	2704.260207
978	2704.19685
979	2704.160387
980	2704.114177
981	2704.064247
982	2704.000664
983	2703.962858
984	2703.888276
985	2703.813801
986	2703.713425
987	2703.615814
988	2703.571036
989	2703.54875
990	2703.354058
991	2703.298549
992	2703.17749
993	2703.049333
994	2702.9256
995	2702.865385
996	2702.827633
997	2702.693867
998	2702.648873
999	2702.605711
